Name	CMC	Type	Color	Tags	Rarity	Override Name	Image URL	
Meso Meso	1	Artifact Creature — Orb 	W		common	Meso Meso		
Staggering Spires	1	Enchantment — Realm 	W		common	Staggering Spires		
Marching Partisan	2	Enchantment Creature — Icon Warrior 	W		common	Marching Partisan		
Fadove Lawkeeper	1	Creature — Human Soldier 	W		common	Fadove Lawkeeper		
Focus of Fadove	2	Creature — Human Warrior 	W		common	Focus of Fadove		
Veteran Party	3	Creature — Human Warrior Wizard 	W		common	Veteran Party		
Outlands Rescinder	3	Creature — Human Cleric 	W		common	Outlands Rescinder		
Clanless Tunneler	4	Creature — Wurm Scout 	W		common	Clanless Tunneler		
Rising Haze	3	Enchantment Creature — Icon Cleric 	W		common	Rising Haze		
Meirel Caretaker	4	Creature — Fox Cleric 	W		common	Meirel Caretaker		
Outlander Mercenary	5	Creature — Human Mercenary 	W		common	Outlander Mercenary		
Fadove Air Supplier	5	Creature — Human Scout 	W		common	Fadove Air Supplier		
Cleric of the Dawn	3	Creature — Wurm Cleric 	W		common	Cleric of the Dawn		
Light of Hope	1	Instant	W		common	Light of Hope		
Fall through Reality	2	Sorcery	W		common	Fall through Reality		
Push Forward	6	Sorcery	W		common	Push Forward		
Make Your Stand	2	Instant	W		common	Make Your Stand		
Rescue Response	4	Instant	W		common	Rescue Response		
Apprentice's Drake	1	Creature — Drake 	U		common	Apprentice's Drake		
Tiderock Passage	3	Enchantment — Realm 	U		common	Tiderock Passage		
Vestige Prowler	3	Creature — Cat Shark 	U		common	Vestige Prowler		
Veneer Walker	2	Creature — Human Wizard 	U		common	Veneer Walker		
Bropheria	1	Creature — Jellyfish 	U		common	Bropheria		
Outlands Explorer	4	Creature — Elf Scout 	U		common	Outlands Explorer		
Migratory Flotilla	5	Enchantment Creature — Icon Whale 	U		common	Migratory Flotilla		
Mistbound Rogue	3	Creature — Human Rogue 	U		common	Mistbound Rogue		
Pathwrought Overseer	7	Creature — Orb Eye 	U		common	Pathwrought Overseer		
Reshape Eternity	3	Instant	U		common	Reshape Eternity		
Consult Eternity	2	Instant	U		common	Consult Eternity		
Fold the Truth	2	Instant	U		common	Fold the Truth		
Alternate Path	3	Sorcery	U		common	Alternate Path		
Pristine Denial	3	Instant	U		common	Pristine Denial		
Vertical Shift	2	Sorcery	U		common	Vertical Shift		
Branching Paths	1	Instant	U		common	Branching Paths		
Gripping Truths	2	Enchantment — Aura 	U		common	Gripping Truths		
Tide of Dismissal	3	Instant	U		common	Tide of Dismissal		
Pathborn Stinger	1	Creature — Insect 	B		common	Pathborn Stinger		
Eroding River	2	Enchantment — Realm 	B		common	Eroding River		
Smogborn Pilferer	2	Enchantment Creature — Icon Rogue 	B		common	Smogborn Pilferer		
Omenspeaker Avakin	2	Creature — Bird Wizard 	B		common	Omenspeaker Avakin		
Hedgecrow	3	Creature — Bird Plant 	B		common	Hedgecrow		
Avakin Trapper	3	Creature — Bird Rogue 	B		common	Avakin Trapper		
Relentless Truthseeker	4	Creature — Human Wizard 	B		common	Relentless Truthseeker		
Scaled Rippler	4	Creature — Lizard 	B		common	Scaled Rippler		
Autonomous Shell	5	Artifact Creature — Phyrexian Zombie 	B		common	Autonomous Shell		
Voidborn Horror	5	Creature — Horror 	B		common	Voidborn Horror		
Aeon Tunneler	6	Creature — Wurm Scout Warrior 	B		common	Aeon Tunneler		
You Can’t Face Me	1	Sorcery	B		common	You Can’t Face Me		
Influence of the Paths	2	Instant	B		common	Influence of the Paths		
This Hunger Has a Name	4	Instant	B		common	This Hunger Has a Name		
Foolish Footing	2	Instant	B		common	Foolish Footing		
The Path Back	3	Sorcery	B		common	The Path Back		
Left for the Crows	4	Sorcery	B		common	Left for the Crows		
Clanless Combatant	1	Creature — Bird Warrior 	R		common	Clanless Combatant		
Bosket Path	2	Enchantment — Realm 	R		common	Bosket Path		
Fiery Absolver	2	Enchantment Creature — Icon Knight 	R		common	Fiery Absolver		
Mordel Shaper	2	Creature — Minotaur Wizard 	R		common	Mordel Shaper		
Drougth Explorer	3	Creature — Cat Scout 	R		common	Drougth Explorer		
Inspiring Recruit	3	Creature — Human Soldier 	R		common	Inspiring Recruit		
Sprouting Fumes	4	Enchantment Creature — Icon Warrior 	R		common	Sprouting Fumes		
Mordel Flamespeaker	4	Creature — Human Wizard 	R		common	Mordel Flamespeaker		
Pathborn Spitter	6	Creature — Cat 	R		common	Pathborn Spitter		
Willbourne’s Flame	2	Instant	R		common	Willbourne’s Flame		
Start of an Adventure	1	Sorcery	R		common	Start of an Adventure		
Fervor of the Wurm	2	Instant	R		common	Fervor of the Wurm		
Fervor of the Flame	3	Enchantment	R		uncommon	Fervor of the Flame		
Shifting Landscape	2	Sorcery	R		common	Shifting Landscape		
Drake’s Intuition	2	Sorcery	R		common	Drake’s Intuition		
Call to Revolution	4	Sorcery	R		common	Call to Revolution		
Depthscout	1	Creature — Wurm Plant Scout 	G		common	Depthscout		
Enlightening Crescents	5	Enchantment — Realm 	F		common	Enlightening Crescents		
Dust Converter	2	Creature — Bird 	F		common	Dust Converter		
Drougth Attuner	3	Creature — Cat Wizard 	F		common	Drougth Attuner		
Adventurous Pair	3	Creature — Human 	F		common	Adventurous Pair		
Calign	2	Creature — Drake Horror 	F		common	Calign		
Avakin Explorer	3	Creature — Bird Scout 	F		common	Avakin Explorer		
Enlisted Arms	4	Enchantment Creature — Wolf Mercenary 	F		common	Enlisted Arms		
Drougth Oracle	5	Creature — Cat Shaman 	F		common	Drougth Oracle		
Vestige Pouncer	6	Creature — Leech 	F		common	Vestige Pouncer		
Mutated Pioneer	7	Creature — Wurm Crab Scout 	F		common	Mutated Pioneer		
Rustic Cultivator	1	Artifact			common	Rustic Cultivator		
Perspective Shift	3	Sorcery	F		common	Perspective Shift		
Power from Beyond	1	Instant	F		common	Power from Beyond		
Guide With and Through	3	Sorcery	G		common	Guide With and Through		
Captivate	2	Instant	F		common	Captivate		
